Source,Target
LjRoot223,LjRoot18
LjRoot223,LjRoot4=LjRoot52=LjRoot142=LjRoot253
LjRoot149,LjRoot78
LjRoot82,LjRoot72=LjRoot75=LjRoot76=LjRoot79=LjRoot86=LjRoot87=LjRoot93=LjRoot94=LjRoot95=LjRoot102=LjRoot103=LjRoot107=LjRoot109=LjRoot118=LjRoot120=LjRoot121=LjRoot124=LjRoot140=LjRoot148=LjRoot158=LjRoot166=LjRoot176=LjRoot180=LjRoot181=LjRoot187=LjRoot188=LjRoot189=LjRoot191=LjRoot199=LjRoot200=LjRoot201
LjRoot92=LjRoot232,LjRoot237
LjRoot282,LjRoot221
LjRoot282,LjRoot17
LjRoot25=LjRoot32=LjRoot33=LjRoot35=LjRoot36,LjRoot131
LjRoot152,LjRoot70=LjRoot91
LjRoot152,LjRoot67=LjRoot74=LjRoot96=LjRoot105=LjRoot133=LjRoot144
LjRoot277,LjRoot30
LjRoot277,LjRoot222
LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218,LjRoot62=LjRoot69=LjRoot99=LjRoot126=LjRoot139=LjRoot150=LjRoot160=LjRoot161=LjRoot170=LjRoot171=LjRoot172=LjRoot203=LjRoot236=LjRoot260=LjRoot294=LjRoot302
LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218,LjRoot54=LjRoot59=LjRoot111=LjRoot147=LjRoot151=LjRoot154=LjRoot159=LjRoot182=LjRoot195=LjRoot250
LjRoot117,LjRoot244
LjRoot117,LjRoot291=LjRoot300
LjRoot117,LjRoot220
LjRoot117,LjRoot283
LjRoot279,LjRoot281
LjRoot279,LjRoot202=LjRoot256
LjRoot226=LjRoot262,LjRoot3
LjRoot226=LjRoot262,LjRoot152
LjRoot289,LjRoot2=LjRoot46=LjRoot50=LjRoot51
LjRoot289,LjRoot97=LjRoot101=LjRoot167
LjRoot289,LjRoot279
LjRoot10,LjRoot134=LjRoot135=LjRoot198
LjRoot10,LjRoot80
LjRoot227,LjRoot277
LjRoot291=LjRoot300,LjRoot149
LjRoot291=LjRoot300,LjRoot20=LjRoot37=LjRoot38=LjRoot129=LjRoot138=LjRoot192
LjRoot18,LjRoot21=LjRoot60=LjRoot63=LjRoot68=LjRoot73=LjRoot77=LjRoot125=LjRoot143=LjRoot156=LjRoot157=LjRoot165=LjRoot173=LjRoot193=LjRoot197
LjRoot18,LjRoot26=LjRoot39=LjRoot40=LjRoot41
LjRoot11,LjRoot282
LjRoot237,LjRoot29=LjRoot31=LjRoot34
LjRoot104=LjRoot239,LjRoot196
LjRoot70=LjRoot91,LjRoot251
LjRoot270=LjRoot271=LjRoot272=LjRoot275,LjRoot71
LjRoot270=LjRoot271=LjRoot272=LjRoot275,LjRoot9=LjRoot233
LjRoot270=LjRoot271=LjRoot272=LjRoot275,LjRoot82
LjRoot270=LjRoot271=LjRoot272=LjRoot275,LjRoot122
LjRoot270=LjRoot271=LjRoot272=LjRoot275,LjRoot145
LjRoot4=LjRoot52=LjRoot142=LjRoot253,LjRoot117
LjRoot243,LjRoot224
LjRoot243,LjRoot259
LjRoot243,LjRoot289
LjRoot83=LjRoot84=LjRoot85=LjRoot130=LjRoot175=LjRoot178=LjRoot179=LjRoot290,LjRoot229
LjRoot83=LjRoot84=LjRoot85=LjRoot130=LjRoot175=LjRoot178=LjRoot179=LjRoot290,LjRoot10
LjRoot30,LjRoot254
LjRoot30,LjRoot288
LjRoot29=LjRoot31=LjRoot34,LjRoot11
LjRoot220,LjRoot90
LjRoot220,LjRoot83=LjRoot84=LjRoot85=LjRoot130=LjRoot175=LjRoot178=LjRoot179=LjRoot290
LjRoot220,LjRoot226=LjRoot262
LjRoot12=LjRoot42=LjRoot44=LjRoot186=LjRoot249,LjRoot98=LjRoot238=LjRoot255=LjRoot265
LjRoot12=LjRoot42=LjRoot44=LjRoot186=LjRoot249,LjRoot258
LjRoot12=LjRoot42=LjRoot44=LjRoot186=LjRoot249,LjRoot183
LjRoot12=LjRoot42=LjRoot44=LjRoot186=LjRoot249,LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218
LjRoot28,LjRoot243
LjRoot28,LjRoot162=LjRoot252
LjRoot9=LjRoot233,LjRoot92=LjRoot232
LjRoot9=LjRoot233,LjRoot177
LjRoot80,LjRoot248
LjRoot80,LjRoot284
LjRoot80,LjRoot25=LjRoot32=LjRoot33=LjRoot35=LjRoot36
LjRoot80,LjRoot28
LjRoot283,LjRoot227
LjRoot2=LjRoot46=LjRoot50=LjRoot51,LjRoot22=LjRoot241=LjRoot267
LjRoot2=LjRoot46=LjRoot50=LjRoot51,LjRoot296
LjRoot131,LjRoot1
LjRoot131,LjRoot257
LjRoot97=LjRoot101=LjRoot167,LjRoot12=LjRoot42=LjRoot44=LjRoot186=LjRoot249
LjRoot254,LjRoot228
LjRoot222,LjRoot104=LjRoot239
LjRoot222,LjRoot270=LjRoot271=LjRoot272=LjRoot275
LjRoot145,LjRoot246
