Source,Target
LjRoot20=LjRoot37=LjRoot38=LjRoot129=LjRoot138=LjRoot192,LjRoot92=LjRoot232
LjRoot54=LjRoot59=LjRoot111=LjRoot147=LjRoot151=LjRoot154=LjRoot159=LjRoot182=LjRoot195=LjRoot250,LjRoot291=LjRoot300
LjRoot71,LjRoot281
LjRoot71,LjRoot149
LjRoot71,LjRoot25=LjRoot32=LjRoot33=LjRoot35=LjRoot36
LjRoot149,LjRoot259
LjRoot149,LjRoot54=LjRoot59=LjRoot111=LjRoot147=LjRoot151=LjRoot154=LjRoot159=LjRoot182=LjRoot195=LjRoot250
LjRoot82,LjRoot277
LjRoot82,LjRoot223
LjRoot82,LjRoot26=LjRoot39=LjRoot40=LjRoot41
LjRoot82,LjRoot21=LjRoot60=LjRoot63=LjRoot68=LjRoot73=LjRoot77=LjRoot125=LjRoot143=LjRoot156=LjRoot157=LjRoot165=LjRoot173=LjRoot193=LjRoot197
LjRoot82,LjRoot196
LjRoot259,LjRoot152
LjRoot259,LjRoot20=LjRoot37=LjRoot38=LjRoot129=LjRoot138=LjRoot192
LjRoot259,LjRoot183
LjRoot26=LjRoot39=LjRoot40=LjRoot41,LjRoot62=LjRoot69=LjRoot99=LjRoot126=LjRoot139=LjRoot150=LjRoot160=LjRoot161=LjRoot170=LjRoot171=LjRoot172=LjRoot203=LjRoot236=LjRoot260=LjRoot294=LjRoot302
LjRoot26=LjRoot39=LjRoot40=LjRoot41,LjRoot72=LjRoot75=LjRoot76=LjRoot79=LjRoot86=LjRoot87=LjRoot93=LjRoot94=LjRoot95=LjRoot102=LjRoot103=LjRoot107=LjRoot109=LjRoot118=LjRoot120=LjRoot121=LjRoot124=LjRoot140=LjRoot148=LjRoot158=LjRoot166=LjRoot176=LjRoot180=LjRoot181=LjRoot187=LjRoot188=LjRoot189=LjRoot191=LjRoot199=LjRoot200=LjRoot201
LjRoot72=LjRoot75=LjRoot76=LjRoot79=LjRoot86=LjRoot87=LjRoot93=LjRoot94=LjRoot95=LjRoot102=LjRoot103=LjRoot107=LjRoot109=LjRoot118=LjRoot120=LjRoot121=LjRoot124=LjRoot140=LjRoot148=LjRoot158=LjRoot166=LjRoot176=LjRoot180=LjRoot181=LjRoot187=LjRoot188=LjRoot189=LjRoot191=LjRoot199=LjRoot200=LjRoot201,LjRoot282
LjRoot25=LjRoot32=LjRoot33=LjRoot35=LjRoot36,LjRoot82
LjRoot62=LjRoot69=LjRoot99=LjRoot126=LjRoot139=LjRoot150=LjRoot160=LjRoot161=LjRoot170=LjRoot171=LjRoot172=LjRoot203=LjRoot236=LjRoot260=LjRoot294=LjRoot302,LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218
LjRoot183,LjRoot162=LjRoot252
LjRoot196,LjRoot221
LjRoot17,LjRoot134=LjRoot135=LjRoot198
LjRoot281,LjRoot67=LjRoot74=LjRoot96=LjRoot105=LjRoot133=LjRoot144
LjRoot134=LjRoot135=LjRoot198,LjRoot71
