Source,Target
LjRoot20=LjRoot37=LjRoot38=LjRoot129=LjRoot138=LjRoot192,LjRoot221
LjRoot223,LjRoot289
LjRoot149,LjRoot224
LjRoot67=LjRoot74=LjRoot96=LjRoot105=LjRoot133=LjRoot144,LjRoot254
LjRoot67=LjRoot74=LjRoot96=LjRoot105=LjRoot133=LjRoot144,LjRoot70=LjRoot91
LjRoot21=LjRoot60=LjRoot63=LjRoot68=LjRoot73=LjRoot77=LjRoot125=LjRoot143=LjRoot156=LjRoot157=LjRoot165=LjRoot173=LjRoot193=LjRoot197,LjRoot3
LjRoot282,LjRoot28
LjRoot259,LjRoot226=LjRoot262
LjRoot259,LjRoot257
LjRoot72=LjRoot75=LjRoot76=LjRoot79=LjRoot86=LjRoot87=LjRoot93=LjRoot94=LjRoot95=LjRoot102=LjRoot103=LjRoot107=LjRoot109=LjRoot118=LjRoot120=LjRoot121=LjRoot124=LjRoot140=LjRoot148=LjRoot158=LjRoot166=LjRoot176=LjRoot180=LjRoot181=LjRoot187=LjRoot188=LjRoot189=LjRoot191=LjRoot199=LjRoot200=LjRoot201,LjRoot237
LjRoot25=LjRoot32=LjRoot33=LjRoot35=LjRoot36,LjRoot4=LjRoot52=LjRoot142=LjRoot253
LjRoot25=LjRoot32=LjRoot33=LjRoot35=LjRoot36,LjRoot202=LjRoot256
LjRoot152,LjRoot20=LjRoot37=LjRoot38=LjRoot129=LjRoot138=LjRoot192
LjRoot17,LjRoot246
LjRoot277,LjRoot270=LjRoot271=LjRoot272=LjRoot275
LjRoot277,LjRoot17
LjRoot277,LjRoot29=LjRoot31=LjRoot34
LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218,LjRoot26=LjRoot39=LjRoot40=LjRoot41
LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218,LjRoot104=LjRoot239
LjRoot134=LjRoot135=LjRoot198,LjRoot80
LjRoot134=LjRoot135=LjRoot198,LjRoot10
LjRoot78,LjRoot1
LjRoot78,LjRoot251
LjRoot78,LjRoot282
LjRoot78,LjRoot22=LjRoot241=LjRoot267
LjRoot226=LjRoot262,LjRoot248
LjRoot226=LjRoot262,LjRoot291=LjRoot300
LjRoot226=LjRoot262,LjRoot71
LjRoot10,LjRoot97=LjRoot101=LjRoot167
LjRoot10,LjRoot11
LjRoot227,LjRoot277
LjRoot1,LjRoot222
LjRoot1,LjRoot54=LjRoot59=LjRoot111=LjRoot147=LjRoot151=LjRoot154=LjRoot159=LjRoot182=LjRoot195=LjRoot250
LjRoot1,LjRoot244
LjRoot1,LjRoot62=LjRoot69=LjRoot99=LjRoot126=LjRoot139=LjRoot150=LjRoot160=LjRoot161=LjRoot170=LjRoot171=LjRoot172=LjRoot203=LjRoot236=LjRoot260=LjRoot294=LjRoot302
LjRoot22=LjRoot241=LjRoot267,LjRoot196
LjRoot22=LjRoot241=LjRoot267,LjRoot134=LjRoot135=LjRoot198
LjRoot22=LjRoot241=LjRoot267,LjRoot82
LjRoot18,LjRoot295
LjRoot229,LjRoot223
LjRoot229,LjRoot67=LjRoot74=LjRoot96=LjRoot105=LjRoot133=LjRoot144
LjRoot229,LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218
LjRoot98=LjRoot238=LjRoot255=LjRoot265,LjRoot117
LjRoot98=LjRoot238=LjRoot255=LjRoot265,LjRoot92=LjRoot232
LjRoot98=LjRoot238=LjRoot255=LjRoot265,LjRoot122
LjRoot11,LjRoot230
LjRoot237,LjRoot21=LjRoot60=LjRoot63=LjRoot68=LjRoot73=LjRoot77=LjRoot125=LjRoot143=LjRoot156=LjRoot157=LjRoot165=LjRoot173=LjRoot193=LjRoot197
LjRoot122,LjRoot149
LjRoot104=LjRoot239,LjRoot228
LjRoot30,LjRoot13
LjRoot30,LjRoot25=LjRoot32=LjRoot33=LjRoot35=LjRoot36
LjRoot257,LjRoot283
LjRoot28,LjRoot227
LjRoot9=LjRoot233,LjRoot30
LjRoot9=LjRoot233,LjRoot152
LjRoot9=LjRoot233,LjRoot162=LjRoot252
LjRoot9=LjRoot233,LjRoot12=LjRoot42=LjRoot44=LjRoot186=LjRoot249
LjRoot80,LjRoot2=LjRoot46=LjRoot50=LjRoot51
LjRoot80,LjRoot220
LjRoot90,LjRoot229
LjRoot2=LjRoot46=LjRoot50=LjRoot51,LjRoot98=LjRoot238=LjRoot255=LjRoot265
LjRoot2=LjRoot46=LjRoot50=LjRoot51,LjRoot279
LjRoot131,LjRoot18
LjRoot131,LjRoot78
LjRoot224,LjRoot72=LjRoot75=LjRoot76=LjRoot79=LjRoot86=LjRoot87=LjRoot93=LjRoot94=LjRoot95=LjRoot102=LjRoot103=LjRoot107=LjRoot109=LjRoot118=LjRoot120=LjRoot121=LjRoot124=LjRoot140=LjRoot148=LjRoot158=LjRoot166=LjRoot176=LjRoot180=LjRoot181=LjRoot187=LjRoot188=LjRoot189=LjRoot191=LjRoot199=LjRoot200=LjRoot201
LjRoot230,LjRoot285
LjRoot202=LjRoot256,LjRoot259
LjRoot202=LjRoot256,LjRoot296
LjRoot248,LjRoot90
LjRoot248,LjRoot183
LjRoot254,LjRoot131
LjRoot254,LjRoot83=LjRoot84=LjRoot85=LjRoot130=LjRoot175=LjRoot178=LjRoot179=LjRoot290
LjRoot295,LjRoot243
LjRoot222,LjRoot281
LjRoot222,LjRoot288
